Journée,Position,Équipe,Points
1,1,Olympique de Marseille,3
1,2,Paris Saint-Germain,3
1,3,Stade Rennais FC,3
1,4,LOSC Lille,3
1,5,AJ Auxerre,3
1,6,AS Monaco,3
1,7,RC Lens,3
1,8,Montpellier Hérault SC,1
1,9,RC Strasbourg Alsace,1
1,10,Toulouse FC,1
1,11,FC Nantes,1
1,12,OGC Nice,0
1,13,Angers SCO,0
1,14,AS Saint-Étienne,0
1,15,Stade de Reims,0
1,16,Le Havre AC,0
1,17,Olympique Lyonnais,0
1,18,Stade Brestois 29,0
2,1,Paris Saint-Germain,6
2,2,LOSC Lille,6
2,3,AS Monaco,6
2,4,RC Lens,6
2,5,Olympique de Marseille,4
2,6,RC Strasbourg Alsace,4
2,7,FC Nantes,4
2,8,Stade Rennais FC,3
2,9,Le Havre AC,3
2,10,AJ Auxerre,3
2,11,Toulouse FC,2
2,12,OGC Nice,1
2,13,Stade de Reims,1
2,14,Montpellier Hérault SC,1
2,15,Angers SCO,0
2,16,AS Saint-Étienne,0
2,17,Olympique Lyonnais,0
2,18,Stade Brestois 29,0
3,1,Paris Saint-Germain,9
3,2,Olympique de Marseille,7
3,3,FC Nantes,7
3,4,AS Monaco,7
3,5,RC Lens,7
3,6,LOSC Lille,6
3,7,Le Havre AC,6
3,8,OGC Nice,4
3,9,RC Strasbourg Alsace,4
3,10,Stade de Reims,4
3,11,Stade Rennais FC,3
3,12,Stade Brestois 29,3
3,13,AJ Auxerre,3
3,14,Olympique Lyonnais,3
3,15,Toulouse FC,2
3,16,Montpellier Hérault SC,1
3,17,Angers SCO,0
3,18,AS Saint-Étienne,0
4,1,Paris Saint-Germain,12
4,2,Olympique de Marseille,10
4,3,AS Monaco,10
4,4,RC Lens,8
4,5,FC Nantes,7
4,6,Stade de Reims,7
4,7,Stade Rennais FC,6
4,8,LOSC Lille,6
4,9,Le Havre AC,6
4,10,RC Strasbourg Alsace,5
4,11,Toulouse FC,5
4,12,OGC Nice,4
4,13,Olympique Lyonnais,4
4,14,Stade Brestois 29,3
4,15,AJ Auxerre,3
4,16,AS Saint-Étienne,3
4,17,Angers SCO,1
4,18,Montpellier Hérault SC,1
5,1,Paris Saint-Germain,13
5,2,Olympique de Marseille,13
5,3,AS Monaco,13
5,4,RC Lens,9
5,5,FC Nantes,8
5,6,Stade de Reims,8
5,7,OGC Nice,7
5,8,Stade Rennais FC,7
5,9,LOSC Lille,7
5,10,RC Strasbourg Alsace,6
5,11,Stade Brestois 29,6
5,12,Le Havre AC,6
5,13,Toulouse FC,5
5,14,Olympique Lyonnais,4
5,15,Montpellier Hérault SC,4
5,16,AJ Auxerre,3
5,17,AS Saint-Étienne,3
5,18,Angers SCO,2
