Saison,Championnat,Journee,Position,Equipe,V,N,D,Buts Pour,Buts Contre,Difference,Points
2024,Ligue 1,1,1,Olympique de Marseille,1,0,0,5,1,4,3
2024,Ligue 1,1,2,Paris Saint-Germain,1,0,0,4,1,3,3
2024,Ligue 1,1,3,Stade Rennais FC,1,0,0,3,0,3,3
2024,Ligue 1,1,4,LOSC Lille,1,0,0,2,0,2,3
2024,Ligue 1,1,5,AJ Auxerre,1,0,0,2,1,1,3
2024,Ligue 1,1,6,AS Monaco,1,0,0,1,0,1,3
2024,Ligue 1,1,7,RC Lens,1,0,0,1,0,1,3
2024,Ligue 1,1,8,Montpellier Hérault SC,0,1,0,1,1,0,1
2024,Ligue 1,1,9,RC Strasbourg Alsace,0,1,0,1,1,0,1
2024,Ligue 1,1,10,Toulouse FC,0,1,0,0,0,0,1
2024,Ligue 1,1,11,FC Nantes,0,1,0,0,0,0,1
2024,Ligue 1,1,12,OGC Nice,0,0,1,1,2,-1,0
2024,Ligue 1,1,13,Angers SCO,0,0,1,0,1,-1,0
2024,Ligue 1,1,14,AS Saint-Étienne,0,0,1,0,1,-1,0
2024,Ligue 1,1,15,Stade de Reims,0,0,1,0,2,-2,0
2024,Ligue 1,1,16,Le Havre AC,0,0,1,1,4,-3,0
2024,Ligue 1,1,17,Olympique Lyonnais,0,0,1,0,3,-3,0
2024,Ligue 1,1,18,Stade Brestois 29,0,0,1,1,5,-4,0
2024,Ligue 1,2,1,Paris Saint-Germain,2,0,0,10,1,9,6
2024,Ligue 1,2,2,LOSC Lille,2,0,0,4,0,4,6
2024,Ligue 1,2,3,AS Monaco,2,0,0,3,0,3,6
2024,Ligue 1,2,4,RC Lens,2,0,0,3,0,3,6
2024,Ligue 1,2,5,Olympique de Marseille,1,1,0,7,3,4,4
2024,Ligue 1,2,6,RC Strasbourg Alsace,1,1,0,4,2,2,4
2024,Ligue 1,2,7,FC Nantes,1,1,0,2,0,2,4
2024,Ligue 1,2,8,Stade Rennais FC,1,0,1,4,3,1,3
2024,Ligue 1,2,9,Le Havre AC,1,0,1,3,4,-1,3
2024,Ligue 1,2,10,AJ Auxerre,1,0,1,2,3,-1,3
2024,Ligue 1,2,11,Toulouse FC,0,2,0,1,1,0,2
2024,Ligue 1,2,12,OGC Nice,0,1,1,2,3,-1,1
2024,Ligue 1,2,13,Stade de Reims,0,1,1,2,4,-2,1
2024,Ligue 1,2,14,Montpellier Hérault SC,0,1,1,1,7,-6,1
2024,Ligue 1,2,15,Angers SCO,0,0,2,0,3,-3,0
2024,Ligue 1,2,16,AS Saint-Étienne,0,0,2,0,3,-3,0
2024,Ligue 1,2,17,Olympique Lyonnais,0,0,2,0,5,-5,0
2024,Ligue 1,2,18,Stade Brestois 29,0,0,2,1,7,-6,0
2023,Ligue 1,1,1,Stade Rennais FC,1,0,0,5,1,4,3
2023,Ligue 1,1,2,AS Monaco,1,0,0,4,2,2,3
2023,Ligue 1,1,3,Stade Brestois 29,1,0,0,3,2,1,3
2023,Ligue 1,1,4,Olympique de Marseille,1,0,0,2,1,1,3
2023,Ligue 1,1,5,Toulouse FC,1,0,0,2,1,1,3
2023,Ligue 1,1,6,RC Strasbourg Alsace,1,0,0,2,1,1,3
2023,Ligue 1,1,7,Montpellier Hérault SC,0,1,0,2,2,0,1
2023,Ligue 1,1,8,Le Havre AC,0,1,0,2,2,0,1
2023,Ligue 1,1,9,LOSC Lille,0,1,0,1,1,0,1
2023,Ligue 1,1,10,OGC Nice,0,1,0,1,1,0,1
2023,Ligue 1,1,11,Paris Saint-Germain,0,1,0,0,0,0,1
2023,Ligue 1,1,12,FC Lorient,0,1,0,0,0,0,1
2023,Ligue 1,1,13,RC Lens,0,0,1,2,3,-1,0
2023,Ligue 1,1,14,Olympique Lyonnais,0,0,1,1,2,-1,0
2023,Ligue 1,1,15,Stade de Reims,0,0,1,1,2,-1,0
2023,Ligue 1,1,16,FC Nantes,0,0,1,1,2,-1,0
2023,Ligue 1,1,17,Clermont Foot 63,0,0,1,2,4,-2,0
2023,Ligue 1,1,18,FC Metz,0,0,1,1,5,-4,0
2023,Ligue 1,2,1,AS Monaco,2,0,0,7,2,5,6
2023,Ligue 1,2,2,Stade Brestois 29,2,0,0,5,3,2,6
2023,Ligue 1,2,3,Stade Rennais FC,1,1,0,6,2,4,4
2023,Ligue 1,2,4,Montpellier Hérault SC,1,1,0,6,3,3,4
2023,Ligue 1,2,5,LOSC Lille,1,1,0,3,1,2,4
2023,Ligue 1,2,6,Olympique de Marseille,1,1,0,4,3,1,4
2023,Ligue 1,2,7,Toulouse FC,1,1,0,3,2,1,4
2023,Ligue 1,2,8,Stade de Reims,1,0,1,3,2,1,3
2023,Ligue 1,2,9,RC Strasbourg Alsace,1,0,1,2,4,-2,3
2023,Ligue 1,2,10,OGC Nice,0,2,0,2,2,0,2
2023,Ligue 1,2,11,Paris Saint-Germain,0,2,0,1,1,0,2
2023,Ligue 1,2,12,FC Lorient,0,2,0,1,1,0,2
2023,Ligue 1,2,13,RC Lens,0,1,1,3,4,-1,1
2023,Ligue 1,2,14,Le Havre AC,0,1,1,3,4,-1,1
2023,Ligue 1,2,15,FC Metz,0,1,1,3,7,-4,1
2023,Ligue 1,2,16,FC Nantes,0,0,2,1,4,-3,0
2023,Ligue 1,2,17,Olympique Lyonnais,0,0,2,2,6,-4,0
2023,Ligue 1,2,18,Clermont Foot 63,0,0,2,2,6,-4,0
2022,Ligue 1,1,1,Paris Saint-Germain,1,0,0,5,0,5,3
2022,Ligue 1,1,2,Olympique de Marseille,1,0,0,4,1,3,3
