Championnat,Saison,Club,Joueur,Date de Naissance,Valeur Marchande
Ligue 1,2021,Paris Saint-Germain,Gianluigi Donnarumma,25 févr. 1999 (23),"50,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Keylor Navas,15 déc. 1986 (35),"8,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Sergio Rico,1 sept. 1993 (28),"4,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Alexandre Letellier,11 déc. 1990 (31),400 K €
Ligue 1,2021,Paris Saint-Germain,Garissone Innocent,16 avr. 2000 (22),300 K €
Ligue 1,2021,Paris Saint-Germain,Denis Franchi,22 oct. 2002 (19),250 K €
Ligue 1,2021,Paris Saint-Germain,Marquinhos,14 mai 1994 (28),"70,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Presnel Kimpembe,13 août 1995 (26),"40,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Thilo Kehrer,21 sept. 1996 (25),"22,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Abdou Diallo,4 mai 1996 (26),"18,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Danilo Pereira,9 sept. 1991 (30),"14,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Sergio Ramos,30 mars 1986 (36),"6,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,El Chadaille Bitshiabu,16 mai 2005 (17),"2,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Nuno Mendes,19 juin 2002 (20),"40,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Juan Bernat,1 mars 1993 (29),"12,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Layvin Kurzawa,4 sept. 1992 (29),"5,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Teddy Alloh,23 janv. 2002 (20),400 K €
Ligue 1,2021,Paris Saint-Germain,Achraf Hakimi,4 nov. 1998 (23),"65,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Colin Dagba,9 sept. 1998 (23),"7,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Leandro Paredes,29 juin 1994 (28),"17,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Marco Verratti,5 nov. 1992 (29),"50,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Georginio Wijnaldum,11 nov. 1990 (31),"18,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Idrissa Gueye,26 sept. 1989 (32),"12,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Ander Herrera,14 août 1989 (32),"10,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Edouard Michut,4 mars 2003 (19),"3,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Junior Dina Ebimbe,21 nov. 2000 (21),"5,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Rafinha,12 févr. 1993 (29),"9,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Xavi Simons,21 avr. 2003 (19),"4,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Nathan Bitumazala,10 déc. 2002 (19),400 K €
Ligue 1,2021,Paris Saint-Germain,Neymar,5 févr. 1992 (30),"75,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Julian Draxler,20 sept. 1993 (28),"18,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Ismaël Gharbi,10 avr. 2004 (18),"1,50 mio. €"
Ligue 1,2021,Paris Saint-Germain,Kenny Nagera,21 févr. 2002 (20),300 K €
Ligue 1,2021,Paris Saint-Germain,Djeidi Gassama,10 sept. 2003 (18),300 K €
Ligue 1,2021,Paris Saint-Germain,Lionel Messi,24 juin 1987 (35),"50,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Pablo Sarabia,11 mai 1992 (30),"25,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Ángel Di María,14 févr. 1988 (34),"12,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Kylian Mbappé,20 déc. 1998 (23),"160,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Mauro Icardi,19 févr. 1993 (29),"22,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Arnaud Kalimuendo,20 janv. 2002 (20),"18,00 mio. €"
Ligue 1,2021,Paris Saint-Germain,Sekou Yansané,28 avr. 2003 (19),300 K €
Ligue 1,2021,Olympique Lyonnais,Anthony Lopes,1 oct. 1990 (31),"10,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Julian Pollersbeck,16 août 1994 (27),800 K €
Ligue 1,2021,Olympique Lyonnais,Kayne Bonnevie,22 juil. 2001 (20),250 K €
Ligue 1,2021,Olympique Lyonnais,Malcolm Barcola,14 mai 1999 (23),250 K €
Ligue 1,2021,Olympique Lyonnais,Castello Lukeba,17 déc. 2002 (19),"20,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Jason Denayer,28 juin 1995 (27),"14,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Sinaly Diomandé,9 avr. 2001 (21),"5,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Jérôme Boateng,3 sept. 1988 (33),"3,50 mio. €"
Ligue 1,2021,Olympique Lyonnais,Marcelo,20 mai 1987 (35),"1,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Damien Da Silva,17 mai 1988 (34),"1,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Emerson,3 août 1994 (27),"14,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Henrique Silva,25 avr. 1994 (28),"1,50 mio. €"
Ligue 1,2021,Olympique Lyonnais,Hugo Vogel,4 janv. 2004 (18),500 K €
Ligue 1,2021,Olympique Lyonnais,Malo Gusto,19 mai 2003 (19),"12,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Léo Dubois,14 sept. 1994 (27),"10,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Irvyn Lomami,30 déc. 2003 (18),200 K €
Ligue 1,2021,Olympique Lyonnais,Bruno Guimarães,16 nov. 1997 (24),"40,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Thiago Mendes,15 mars 1992 (30),"9,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Tanguy Ndombélé,28 déc. 1996 (25),"30,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Maxence Caqueret,15 févr. 2000 (22),"25,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Pape Cheikh,8 août 1997 (24),"1,80 mio. €"
Ligue 1,2021,Olympique Lyonnais,Habib Keïta,5 févr. 2002 (20),800 K €
Ligue 1,2021,Olympique Lyonnais,Florent Sanchez,2 avr. 2003 (19),600 K €
Ligue 1,2021,Olympique Lyonnais,Noam Bonnet,25 mai 2002 (20),150 K €
Ligue 1,2021,Olympique Lyonnais,Romain Faivre,14 juil. 1998 (23),"15,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Lucas Paquetá,27 août 1997 (24),"35,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Houssem Aouar,30 juin 1998 (24),"25,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Rayan Cherki,17 août 2003 (18),"18,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Jeff Reine-Adélaïde,17 janv. 1998 (24),"14,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Xherdan Shaqiri,10 oct. 1991 (30),"7,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Maxwel Cornet,27 sept. 1996 (25),"15,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Bradley Barcola,2 sept. 2002 (19),"1,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Madyan Sounni,23 déc. 2002 (19),150 K €
Ligue 1,2021,Olympique Lyonnais,Tetê,15 févr. 2000 (22),"22,00 mio. €"
Ligue 1,2021,Olympique Lyonnais,Lenny Pintor,5 août 2000 (21),"1,50 mio. €"
Ligue 1,2021,Olympique Lyonnais,Moussa Dembélé,12 juil. 1996 (25),"20,00 mio. €"
