game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2320472,2036.0,4.0,,Frank Schmidt,72.0,5.0,,Alexander Schmidt,Home,0
2321027,33.0,3.0,8.0,Jens Keller,41.0,3.0,9.0,Thorsten Fink,Home,0
2321044,16.0,2.0,1.0,Jürgen Klopp,23.0,1.0,15.0,Torsten Lieberknecht,Home,1
2321063,33.0,2.0,13.0,Jens Keller,15.0,0.0,3.0,Sami Hyypiä,Home,1
2321072,16.0,6.0,1.0,Jürgen Klopp,41.0,2.0,15.0,Thorsten Fink,Home,1
2321119,15.0,1.0,3.0,Sami Hyypiä,27.0,1.0,1.0,Pep Guardiola,Home,0
2321152,44.0,0.0,7.0,Jos Luhukay,33.0,2.0,6.0,Jens Keller,Home,0
2321307,16.0,2.0,2.0,Jürgen Klopp,82.0,1.0,6.0,Dieter Hecking,Home,1
2321319,15.0,2.0,4.0,Sascha Lewandowski,44.0,1.0,10.0,Jos Luhukay,Home,1
2321330,167.0,0.0,8.0,Markus Weinzierl,44.0,0.0,10.0,Jos Luhukay,Home,0
2321335,33.0,0.0,3.0,Jens Keller,18.0,1.0,6.0,Lucien Favre,Home,0
2330874,618.0,2.0,6.0,Christophe Galtier,595.0,2.0,8.0,Frédéric Hantz,Home,0
2330980,1421.0,4.0,7.0,Hubert Fournier,1147.0,1.0,20.0,Christian Bracconi,Home,1
2330992,415.0,0.0,12.0,Alain Casanova,855.0,0.0,13.0,Jocelyn Gourvennec,Home,0
2331018,273.0,0.0,15.0,Philippe Montanier,14171.0,0.0,17.0,Pascal Dupraz,Home,0
2331034,1147.0,3.0,20.0,Christian Bracconi,273.0,1.0,15.0,Philippe Montanier,Home,1
2331094,244.0,0.0,6.0,José Anigo,417.0,1.0,12.0,Claude Puel,Home,0
2331110,417.0,0.0,11.0,Claude Puel,583.0,1.0,1.0,Laurent Blanc,Home,0
2331128,415.0,1.0,8.0,Alain Casanova,1082.0,2.0,3.0,René Girard,Home,0
2331151,415.0,1.0,10.0,Alain Casanova,995.0,1.0,11.0,Michel Der Zakarian,Home,0
2331162,162.0,1.0,2.0,Claudio Ranieri,855.0,1.0,16.0,Jocelyn Gourvennec,Home,0
2332053,379.0,3.0,15.0,Sam Allardyce,931.0,0.0,18.0,Martin Jol,Home,1
2332070,281.0,6.0,4.0,Manuel Pellegrini,148.0,0.0,9.0,André Villas-Boas,Home,1
2332184,762.0,0.0,8.0,Alan Pardew,29.0,3.0,6.0,Roberto Martínez,Home,0
2332188,180.0,2.0,9.0,Mauricio Pochettino,11.0,2.0,2.0,Arsène Wenger,Home,0
2332222,11.0,0.0,2.0,Arsène Wenger,985.0,0.0,7.0,David Moyes,Home,0
2332234,405.0,4.0,10.0,Paul Lambert,984.0,3.0,15.0,Pepe Mel,Home,1
2332235,873.0,1.0,14.0,Tony Pulis,3008.0,0.0,13.0,Steve Bruce,Home,1
2332259,29.0,2.0,5.0,Roberto Martínez,281.0,3.0,1.0,Manuel Pellegrini,Home,0
2332288,405.0,0.0,15.0,Paul Lambert,180.0,0.0,8.0,Mauricio Pochettino,Home,0
2332293,180.0,0.0,8.0,Mauricio Pochettino,603.0,1.0,20.0,Ole Gunnar Solskjaer,Home,0
2341056,1050.0,5.0,5.0,Marcelino,681.0,1.0,6.0,Jagoba Arrasate,Home,1
2341074,681.0,1.0,8.0,Jagoba Arrasate,13.0,2.0,2.0,Diego Simeone,Home,0
2341079,621.0,3.0,5.0,Ernesto Valverde,940.0,2.0,9.0,Luis Enrique,Home,1
2341123,1049.0,2.0,7.0,Juan Antonio Pizzi,16795.0,1.0,13.0,Lucas Alcaraz,Home,1
2341144,940.0,0.0,19.0,Luis Enrique,3368.0,1.0,9.0,Joaquín Caparrós,Home,0
2341160,1531.0,0.0,12.0,Fran Escribá,16795.0,1.0,13.0,Lucas Alcaraz,Home,0
2341172,940.0,0.0,17.0,Luis Enrique,1531.0,1.0,14.0,Fran Escribá,Home,0
2341200,1049.0,2.0,8.0,Juan Antonio Pizzi,3368.0,0.0,13.0,Joaquín Caparrós,Home,1
2341227,13.0,7.0,2.0,Diego Simeone,3709.0,0.0,7.0,Luis García,Home,1
2341237,1050.0,1.0,5.0,Marcelino,1084.0,1.0,15.0,Bernd Schuster,Home,0
2341304,714.0,2.0,9.0,Javier Aguirre,367.0,2.0,12.0,Paco Jémez,Home,0
2341319,1050.0,1.0,6.0,Marcelino,621.0,1.0,4.0,Ernesto Valverde,Home,0
2341332,16795.0,1.0,14.0,Lucas Alcaraz,131.0,0.0,3.0,Gerardo Martino,Home,1
2353758,1041.0,4.0,1.0,Rémi Garde,417.0,0.0,20.0,Claude Puel,Home,1
2359279,276.0,3.0,4.0,Andrea Mandorlini,130.0,2.0,13.0,Roberto Donadoni,Home,1
2359323,130.0,1.0,11.0,Roberto Donadoni,398.0,1.0,8.0,Vladimir Petkovic,Home,0
2359334,410.0,1.0,11.0,Francesco Guidolin,430.0,0.0,5.0,Vincenzo Montella,Home,1
2359425,430.0,2.0,4.0,Vincenzo Montella,800.0,0.0,13.0,Stefano Colantuono,Home,1
2359504,46.0,0.0,5.0,Walter Mazzarri,410.0,0.0,14.0,Francesco Guidolin,Home,0
2359532,410.0,0.0,14.0,Francesco Guidolin,506.0,2.0,1.0,Antonio Conte,Home,0
2359539,5.0,3.0,7.0,Clarence Seedorf,1210.0,0.0,19.0,Domenico Di Carlo,Home,1
2359568,6574.0,4.0,16.0,Eusebio Di Francesco,252.0,2.0,14.0,Gian Piero Gasperini,Home,1
2361082,60.0,2.0,,Christian Streich,79.0,1.0,,Thomas Schneider,Home,1
2367096,6195.0,2.0,,Rafael Benítez,16.0,1.0,,Jürgen Klopp,Home,1
2368445,27.0,5.0,,Pep Guardiola,941.0,0.0,,Pavel Vrba,Home,1
2368764,472.0,3.0,,Sergio Lobera,7971.0,0.0,,Quique Hernández,Home,1
2368769,1244.0,4.0,,Asier Garitano,630.0,6.0,,Paco Fernández,Home,0
2382254,331.0,1.0,,Javi Gracia,1084.0,1.0,,Bernd Schuster,Home,0
2382264,714.0,2.0,,Javier Aguirre,666.0,0.0,,Manolo Herrero,Home,1
2382266,621.0,4.0,,Ernesto Valverde,940.0,0.0,,Luis Enrique,Home,1
2423328,12.0,3.0,,Rudi Garcia,6195.0,2.0,,Rafael Benítez,Home,1
2423908,281.0,2.0,,Manuel Pellegrini,631.0,0.0,,José Mourinho,Home,1
2458586,11.0,3.0,,Arsène Wenger,281.0,0.0,,Manuel Pellegrini,Home,1
2460296,11.0,2.0,3.0,Arsène Wenger,873.0,1.0,14.0,Keith Millen,Home,1
2460684,18.0,1.0,3.0,Lucien Favre,39.0,1.0,6.0,Kasper Hjulmand,Home,0
2460707,27.0,2.0,1.0,Pep Guardiola,16.0,1.0,17.0,Jürgen Klopp,Home,1
2460716,16.0,1.0,15.0,Jürgen Klopp,18.0,0.0,3.0,Lucien Favre,Home,1
2460717,15.0,0.0,6.0,Roger Schmidt,39.0,0.0,8.0,Kasper Hjulmand,Home,0
2460719,167.0,3.0,7.0,Markus Weinzierl,127.0,0.0,9.0,André Breitenreiter,Home,1
2460728,39.0,2.0,9.0,Kasper Hjulmand,60.0,2.0,14.0,Christian Streich,Home,0
2460737,167.0,3.0,4.0,Markus Weinzierl,41.0,1.0,17.0,Josef Zinnbauer,Home,1
2460786,79.0,0.0,17.0,Huub Stevens,18.0,1.0,3.0,Lucien Favre,Home,0
2460805,3.0,0.0,11.0,Peter Stöger,127.0,0.0,15.0,André Breitenreiter,Home,0
2460815,33.0,1.0,4.0,Roberto Di Matteo,86.0,1.0,8.0,Viktor Skrypnyk,Home,0
2460817,39.0,3.0,11.0,Martin Schmidt,24.0,1.0,9.0,Thomas Schaaf,Home,1
2460832,24.0,2.0,8.0,Thomas Schaaf,41.0,1.0,15.0,Josef Zinnbauer,Home,1
2460855,60.0,2.0,15.0,Christian Streich,167.0,0.0,6.0,Markus Weinzierl,Home,1
2460858,3.0,1.0,12.0,Peter Stöger,86.0,1.0,9.0,Viktor Skrypnyk,Home,0
