league,season,club,mean_value,sum_value,max_value,avg_age,total_attack_value,total_defense_value,total_midfield_value,Missing
Bundesliga,2021,1.FC Köln,99275000.0,3202419.35483871,13000000.0,25.387096774193548,11100000.0,43925000.0,43500000.0,750000.0
Bundesliga,2021,1.FC Union Berlin,115900000.0,2897500.0,20000000.0,26.575,38350000.0,41050000.0,36500000.0,0.0
Bundesliga,2021,1.FSV Mainz 05,131025000.0,3853676.470588235,18000000.0,24.941176470588236,25750000.0,48800000.0,40475000.0,16000000.0
Bundesliga,2021,Arminia Bielefeld,65850000.0,1936764.705882353,8000000.0,24.61764705882353,20500000.0,32150000.0,11700000.0,1500000.0
Bundesliga,2021,Bayer 04 Leverkusen,455050000.0,13001428.57142857,70000000.0,24.571428571428573,235700000.0,159050000.0,202300000.0,0.0
Bundesliga,2021,Bayern Munich,790325000.0,20798026.315789472,80000000.0,24.68421052631579,261200000.0,274300000.0,254825000.0,0.0
Bundesliga,2021,Borussia Dortmund,558975000.0,12703977.272727273,150000000.0,23.931818181818183,222900000.0,132500000.0,203575000.0,0.0
Bundesliga,2021,Borussia Mönchengladbach,236800000.0,7638709.677419355,27000000.0,25.35483870967742,57400000.0,91300000.0,101100000.0,0.0
Bundesliga,2021,Eintracht Francfort,228750000.0,6354166.666666667,32000000.0,25.166666666666668,67700000.0,75350000.0,85700000.0,0.0
Bundesliga,2021,FC Augsburg,95300000.0,2978125.0,12000000.0,25.46875,31000000.0,41400000.0,23900000.0,1000000.0
Bundesliga,2021,Hertha BSC,155775000.0,3461666.6666666665,30000000.0,24.711111111111112,66650000.0,46175000.0,36950000.0,6000000.0
Bundesliga,2021,RB Leipzig,498950000.0,14675000.0,80000000.0,23.852941176470587,226650000.0,168350000.0,167950000.0,0.0
Bundesliga,2021,SC Fribourg,176350000.0,5510937.5,33000000.0,25.0,47450000.0,90200000.0,38700000.0,0.0
Bundesliga,2021,SpVgg Greuther Fürth,36950000.0,1086764.705882353,4500000.0,24.558823529411764,13450000.0,14150000.0,9350000.0,0.0
Bundesliga,2021,TSG 1899 Hoffenheim,211425000.0,5285625.0,22000000.0,24.925,49050000.0,66050000.0,95325000.0,1000000.0
Bundesliga,2021,VfB Stuttgart,174225000.0,4467307.692307692,25000000.0,23.46153846153846,66000000.0,39600000.0,82925000.0,700000.0
Bundesliga,2021,VfL Bochum,52250000.0,1583333.3333333333,10000000.0,27.303030303030305,15900000.0,25900000.0,10450000.0,0.0
Bundesliga,2021,VfL Wolfsburg,269300000.0,7278378.378378378,27000000.0,25.27027027027027,99900000.0,106400000.0,70500000.0,0.0
Bundesliga,2022,1.FC Köln,115650000.0,2965384.6153846155,13000000.0,24.94871794871795,22350000.0,46300000.0,47000000.0,0.0
Bundesliga,2022,1.FC Union Berlin,157950000.0,4387500.0,17000000.0,26.88888888888889,32250000.0,91150000.0,41550000.0,0.0
Bundesliga,2022,1.FSV Mainz 05,135800000.0,3994117.6470588236,15000000.0,24.735294117647058,36600000.0,35075000.0,64125000.0,0.0
Bundesliga,2022,Bayer 04 Leverkusen,452500000.0,12928571.42857143,85000000.0,24.228571428571428,190000000.0,136950000.0,215550000.0,0.0
Bundesliga,2022,Bayern Munich,948950000.0,27112857.14285714,110000000.0,25.314285714285713,258500000.0,406450000.0,284000000.0,0.0
Bundesliga,2022,Borussia Dortmund,567550000.0,15339189.18918919,120000000.0,24.62162162162162,159000000.0,175900000.0,232650000.0,0.0
Bundesliga,2022,Borussia Mönchengladbach,241675000.0,6905000.0,40000000.0,25.428571428571427,51350000.0,108425000.0,94900000.0,0.0
Bundesliga,2022,Eintracht Francfort,324550000.0,9015277.777777778,80000000.0,25.02777777777778,133000000.0,83950000.0,107600000.0,0.0
Bundesliga,2022,FC Augsburg,132225000.0,3148214.285714286,12000000.0,25.023809523809526,59500000.0,39725000.0,35900000.0,600000.0
Bundesliga,2022,FC Schalke 04,87775000.0,2041279.0697674418,20000000.0,26.3953488372093,13725000.0,46100000.0,28150000.0,0.0
Bundesliga,2022,Hertha BSC,94000000.0,2292682.926829268,12000000.0,25.365853658536587,39600000.0,27300000.0,24650000.0,2450000.0
Bundesliga,2022,RB Leipzig,486400000.0,16772413.793103449,80000000.0,25.586206896551722,176000000.0,177900000.0,162500000.0,0.0
Bundesliga,2022,SC Fribourg,200950000.0,6929310.344827586,25000000.0,26.03448275862069,83500000.0,85700000.0,31750000.0,0.0
Bundesliga,2022,SV Werder Bremen,89500000.0,2712121.212121212,13000000.0,24.727272727272727,28550000.0,42150000.0,19400000.0,0.0
Bundesliga,2022,TSG 1899 Hoffenheim,178800000.0,4832432.432432433,24000000.0,25.756756756756758,38800000.0,62300000.0,77700000.0,0.0
Bundesliga,2022,VfB Stuttgart,151050000.0,3873076.923076923,15000000.0,23.153846153846153,58900000.0,46025000.0,54125000.0,0.0
Bundesliga,2022,VfL Bochum,53700000.0,1678125.0,8000000.0,27.71875,15500000.0,25500000.0,12700000.0,0.0
Bundesliga,2022,VfL Wolfsburg,238300000.0,7221212.121212121,30000000.0,24.727272727272727,76900000.0,89700000.0,71700000.0,0.0
Bundesliga,2023,1.FC Heidenheim 1846,66450000.0,2373214.285714286,15000000.0,26.285714285714285,38600000.0,14600000.0,13250000.0,0.0
Bundesliga,2023,1.FC Köln,81450000.0,2468181.8181818184,9000000.0,25.606060606060606,19900000.0,39550000.0,22000000.0,0.0
Bundesliga,2023,1.FC Union Berlin,160950000.0,4598571.428571428,17000000.0,27.0,46400000.0,71750000.0,46800000.0,0.0
Bundesliga,2023,1.FSV Mainz 05,142875000.0,4202205.882352941,20000000.0,25.941176470588236,45950000.0,33225000.0,63700000.0,0.0
Bundesliga,2023,Bayer 04 Leverkusen,658350000.0,20573437.5,130000000.0,24.3125,109000000.0,246550000.0,317800000.0,0.0
Bundesliga,2023,Bayern Munich,965150000.0,24747435.897435896,120000000.0,24.71794871794872,322500000.0,341650000.0,300000000.0,1000000.0
Bundesliga,2023,Borussia Dortmund,494800000.0,13744444.444444444,40000000.0,25.13888888888889,187300000.0,179500000.0,128000000.0,0.0
Bundesliga,2023,Borussia Mönchengladbach,165225000.0,5006818.181818182,20000000.0,25.545454545454547,49300000.0,75225000.0,44700000.0,0.0
Bundesliga,2023,Eintracht Francfort,326650000.0,7101086.956521739,45000000.0,24.195652173913043,139400000.0,93950000.0,93300000.0,0.0
Bundesliga,2023,FC Augsburg,140800000.0,3705263.1578947366,28000000.0,25.026315789473685,61200000.0,38400000.0,43700000.0,0.0
