Season,Rank,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
2020,1,Atlético Madrid,38,26,8,4,67,25,+42,86
2020,2,Real Madrid,38,25,9,4,67,28,+39,84
2020,3,Barcelona,38,24,7,7,85,38,+47,79
2020,4,Sevilla,38,24,5,9,53,33,+20,77
2020,5,Real Sociedad,38,17,11,10,59,38,+21,62
2020,6,Real Betis,38,17,10,11,50,50,0,61
2020,7,Villarreal,38,15,13,10,60,44,+16,58
2020,8,Celta Vigo,38,14,11,13,55,57,-2,53
2020,9,Granada,38,13,7,18,47,65,-18,46
2020,10,Athletic Club,38,11,13,14,46,42,+4,46
2020,11,Osasuna,38,11,11,16,37,48,-11,44
2020,12,Cádiz,38,11,11,16,36,58,-22,44
2020,13,Valencia,38,10,13,15,50,53,-3,43
2020,14,Levante,38,9,14,15,46,57,-11,41
2020,15,Getafe,38,9,11,18,28,43,-15,38
2020,16,Alavés,38,9,11,18,36,57,-21,38
2020,17,Elche,38,8,12,18,34,55,-21,36
2020,18,Huesca,38,7,13,18,34,53,-19,34
2020,19,Real Valladolid,38,5,16,17,34,57,-23,31
2020,20,Eibar,38,6,12,20,29,52,-23,30
2021,1,Real Madrid,38,26,8,4,80,31,+49,86
2021,2,Barcelona,38,21,10,7,68,38,+30,73
2021,3,Atlético Madrid,38,21,8,9,65,43,+22,71
2021,4,Sevilla,38,18,16,4,53,30,+23,70
2021,5,Real Betis,38,19,8,11,62,40,+22,65
2021,6,Real Sociedad,38,17,11,10,40,37,+3,62
2021,7,Villarreal,38,16,11,11,63,37,+26,59
2021,8,Athletic Club,38,14,13,11,43,36,+7,55
2021,9,Valencia,38,11,15,12,48,53,-5,48
2021,10,Osasuna,38,12,11,15,37,51,-14,47
2021,11,Celta Vigo,38,12,10,16,43,43,0,46
2021,12,Rayo Vallecano,38,11,9,18,39,50,-11,42
2021,13,Elche,38,11,9,18,40,52,-12,42
2021,14,Espanyol,38,10,12,16,40,53,-13,42
2021,15,Getafe,38,8,15,15,33,41,-8,39
2021,16,Mallorca,38,10,9,19,36,63,-27,39
2021,17,Cádiz,38,8,15,15,35,51,-16,39
2021,18,Granada,38,8,14,16,44,61,-17,38
2021,19,Levante,38,8,11,19,51,76,-25,35
2021,20,Alavés,38,8,7,23,31,65,-34,31
2022,1,Barcelona,38,28,4,6,70,20,+50,88
2022,2,Real Madrid,38,24,6,8,75,36,+39,78
2022,3,Atlético Madrid,38,23,8,7,70,33,+37,77
2022,4,Real Sociedad,38,21,8,9,51,35,+16,71
2022,5,Villarreal,38,19,7,12,59,40,+19,64
2022,6,Real Betis,38,17,9,12,46,41,+5,60
2022,7,Osasuna,38,15,8,15,37,42,-5,53
2022,8,Athletic Club,38,14,9,15,47,43,+4,51
2022,9,Mallorca,38,14,8,16,37,43,-6,50
2022,10,Girona,38,13,10,15,58,55,+3,49
2022,11,Rayo Vallecano,38,13,10,15,45,53,-8,49
2022,12,Sevilla,38,13,10,15,47,54,-7,49
2022,13,Celta Vigo,38,11,10,17,43,53,-10,43
2022,14,Cádiz,38,10,12,16,30,53,-23,42
2022,15,Getafe,38,10,12,16,34,45,-11,42
2022,16,Valencia,38,11,9,18,42,45,-3,42
2022,17,Almería,38,11,8,19,49,65,-16,41
2022,18,Real Valladolid,38,11,7,20,33,63,-30,40
2022,19,Espanyol,38,8,13,17,52,69,-17,37
2022,20,Elche,38,5,10,23,30,67,-37,25
2023,1,Real Madrid,38,29,8,1,87,26,+61,95
2023,2,Barcelona,38,26,7,5,79,44,+35,85
2023,3,Girona,38,25,6,7,85,46,+39,81
2023,4,Atlético Madrid,38,24,4,10,70,43,+27,76
2023,5,Athletic Club,38,19,11,8,61,37,+24,68
2023,6,Real Sociedad,38,16,12,10,51,39,+12,60
2023,7,Real Betis,38,14,15,9,48,45,+3,57
2023,8,Villarreal,38,14,11,13,65,65,0,53
2023,9,Valencia,38,13,10,15,40,45,-5,49
2023,10,Alavés,38,12,10,16,36,46,-10,46
2023,11,Osasuna,38,12,9,17,45,56,-11,45
2023,12,Getafe,38,10,13,15,42,54,-12,43
2023,13,Celta Vigo,38,10,11,17,46,57,-11,41
2023,14,Sevilla,38,10,11,17,48,54,-6,41
2023,15,Mallorca,38,8,16,14,33,44,-11,40
2023,16,Las Palmas,38,10,10,18,33,47,-14,40
2023,17,Rayo Vallecano,38,8,14,16,29,48,-19,38
2023,18,Cádiz,38,6,15,17,26,55,-29,33
2023,19,Almería,38,3,12,23,43,75,-32,21
2023,20,Granada,38,4,9,25,38,79,-41,21
2024,1,Real Madrid,21,15,4,2,50,20,+30,49
2024,2,Atlético Madrid,21,13,6,2,35,14,+21,45
2024,3,Barcelona,21,13,3,5,59,24,+35,42
2024,4,Athletic Club,21,11,7,3,31,18,+13,40
2024,5,Villarreal,21,9,7,5,39,32,+7,34
2024,6,Mallorca,21,9,3,9,19,26,-7,30
2024,7,Rayo Vallecano,21,7,8,6,25,24,+1,29
2024,8,Girona,21,8,4,9,29,29,0,28
2024,9,Real Sociedad,21,8,4,9,17,17,0,28
2024,10,Real Betis,21,7,7,7,23,26,-3,28
2024,11,Osasuna,21,6,9,6,25,30,-5,27
2024,12,Sevilla,21,7,6,8,24,30,-6,27
2024,13,Celta Vigo,21,7,4,10,30,33,-3,25
2024,14,Getafe,21,5,8,8,17,17,0,23
2024,15,Las Palmas,21,6,5,10,26,34,-8,23
2024,16,Leganés,21,5,8,8,19,29,-10,23
2024,17,Alavés,21,5,6,10,25,33,-8,21
2024,18,Espanyol,21,5,5,11,20,33,-13,20
2024,19,Valencia,21,3,7,11,20,36,-16,16
2024,20,Real Valladolid,21,4,3,14,14,42,-28,15
