Season,Rank,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
2020,1,Lille,38,24,11,3,64,23,+41,83
2020,2,Paris Saint-Germain,38,26,4,8,86,28,+58,82
2020,3,AS Monaco,38,24,6,8,76,42,+34,78
2020,4,Lyon,38,22,10,6,81,43,+38,76
2020,5,Marseille,38,16,12,10,54,47,+7,60
2020,6,Stade Rennais,38,16,10,12,52,40,+12,58
2020,7,Lens,38,15,12,11,55,54,+1,57
2020,8,Montpellier,38,14,12,12,60,62,-2,54
2020,9,Nice,38,15,7,16,50,53,-3,52
2020,10,Metz,38,12,11,15,44,48,-4,47
2020,11,Saint-Etienne,38,12,10,16,42,54,-12,46
2020,12,Bordeaux,38,13,6,19,42,56,-14,45
2020,13,Angers,38,12,8,18,40,58,-18,44
2020,14,Stade de Reims,38,9,15,14,42,50,-8,42
2020,15,Strasbourg,38,11,9,18,49,58,-9,42
2020,16,Lorient,38,11,9,18,50,68,-18,42
2020,17,Brest,38,11,8,19,50,66,-16,41
2020,18,Nantes,38,9,13,16,47,55,-8,40
2020,19,Nimes,38,9,8,21,40,71,-31,35
2020,20,Dijon FCO,38,4,9,25,25,73,-48,21
2021,1,Paris Saint-Germain,38,26,8,4,90,36,+54,86
2021,2,Marseille,38,21,8,9,63,38,+25,71
2021,3,AS Monaco,38,20,9,9,65,40,+25,69
2021,4,Stade Rennais,38,20,6,12,82,40,+42,66
2021,5,Nice,38,20,7,11,52,36,+16,66
2021,6,Strasbourg,38,17,12,9,60,43,+17,63
2021,7,Lens,38,17,11,10,62,48,+14,62
2021,8,Lyon,38,17,11,10,66,51,+15,61
2021,9,Nantes,38,15,10,13,55,48,+7,55
2021,10,Lille,38,14,13,11,48,48,0,55
2021,11,Brest,38,13,9,16,49,57,-8,48
2021,12,Stade de Reims,38,11,13,14,43,44,-1,46
2021,13,Montpellier,38,12,7,19,49,61,-12,43
2021,14,Angers,38,10,11,17,44,55,-11,41
2021,15,Troyes,38,9,11,18,37,53,-16,38
2021,16,Lorient,38,8,12,18,35,63,-28,36
2021,17,Clermont Foot,38,9,9,20,38,69,-31,36
2021,18,Saint-Etienne,38,7,11,20,42,77,-35,32
2021,19,Metz,38,6,13,19,35,69,-34,31
2021,20,Bordeaux,38,6,13,19,52,91,-39,31
2022,1,Paris Saint-Germain,38,27,4,7,89,40,+49,85
2022,2,Lens,38,25,9,4,68,29,+39,84
2022,3,Marseille,38,22,7,9,67,40,+27,73
2022,4,Stade Rennais,38,21,5,12,69,39,+30,68
2022,5,Lille,38,19,10,9,65,44,+21,67
2022,6,AS Monaco,38,19,8,11,70,58,+12,65
2022,7,Lyon,38,18,8,12,65,47,+18,62
2022,8,Clermont Foot,38,17,8,13,45,49,-4,59
2022,9,Nice,38,15,13,10,48,37,+11,58
2022,10,Lorient,38,15,10,13,52,53,-1,55
2022,11,Stade de Reims,38,12,15,11,45,45,0,51
2022,12,Montpellier,38,15,5,18,65,62,+3,50
2022,13,Toulouse,38,13,9,16,51,57,-6,48
2022,14,Brest,38,11,11,16,44,54,-10,44
2022,15,Strasbourg,38,9,13,16,51,59,-8,40
2022,16,Nantes,38,7,15,16,37,55,-18,36
2022,17,AJ Auxerre,38,8,11,19,35,63,-28,35
2022,18,AC Ajaccio,38,7,5,26,23,74,-51,26
2022,19,Troyes,38,4,12,22,45,81,-36,24
2022,20,Angers,38,4,6,28,33,81,-48,18
2023,1,Paris Saint-Germain,34,22,10,2,81,33,+48,76
2023,2,AS Monaco,34,20,7,7,68,42,+26,67
2023,3,Brest,34,17,10,7,53,34,+19,61
2023,4,Lille,34,16,11,7,52,34,+18,59
2023,5,Nice,34,15,10,9,40,29,+11,55
2023,6,Lyon,34,16,5,13,49,55,-6,53
2023,7,Lens,34,14,9,11,45,37,+8,51
2023,8,Marseille,34,13,11,10,52,41,+11,50
2023,9,Stade de Reims,34,13,8,13,42,47,-5,47
2023,10,Stade Rennais,34,12,10,12,53,46,+7,46
2023,11,Toulouse,34,11,10,13,42,46,-4,43
2023,12,Montpellier,34,10,12,12,43,48,-5,41
2023,13,Strasbourg,34,10,9,15,38,50,-12,39
2023,14,Nantes,34,9,6,19,30,55,-25,33
2023,15,Le Havre AC,34,7,11,16,34,45,-11,32
2023,16,Metz,34,8,5,21,35,58,-23,29
2023,17,Lorient,34,7,8,19,43,66,-23,29
2023,18,Clermont Foot,34,5,10,19,26,60,-34,25
2024,1,Paris Saint-Germain,19,14,5,0,49,17,+32,47
2024,2,Marseille,18,11,4,3,40,21,+19,37
2024,3,AS Monaco,19,10,4,5,32,22,+10,34
2024,4,Lille,19,8,8,3,29,19,+10,32
2024,5,Nice,18,8,6,4,36,25,+11,30
2024,6,Lyon,18,8,5,5,29,22,+7,29
2024,7,Lens,18,7,6,5,22,18,+4,27
2024,8,Strasbourg,19,7,6,6,33,31,+2,27
2024,9,Toulouse,18,7,4,7,19,19,0,25
2024,10,Brest,18,8,1,9,28,31,-3,25
2024,11,AJ Auxerre,19,6,5,8,25,29,-4,23
2024,12,Stade de Reims,19,5,7,7,25,27,-2,22
2024,13,Angers,18,6,4,8,21,27,-6,22
2024,14,Saint-Etienne,19,5,3,11,18,39,-21,18
2024,15,Stade Rennais,19,5,2,12,26,30,-4,17
2024,16,Nantes,18,3,8,7,21,28,-7,17
2024,17,Le Havre AC,18,4,1,13,14,37,-23,13
2024,18,Montpellier,18,3,3,12,18,43,-25,12
