Season,Rank,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
2020,1,Bayern Munich,34,24,6,4,99,44,+55,78
2020,2,RB Leipzig,34,19,8,7,60,32,+28,65
2020,3,Borussia Dortmund,34,20,4,10,75,46,+29,64
2020,4,VfL Wolfsburg,34,17,10,7,61,37,+24,61
2020,5,Eintracht Frankfurt,34,16,12,6,69,53,+16,60
2020,6,Bayer Leverkusen,34,14,10,10,53,39,+14,52
2020,7,1. FC Union Berlin,34,12,14,8,50,43,+7,50
2020,8,Borussia Monchengladbach,34,13,10,11,64,56,+8,49
2020,9,VfB Stuttgart,34,12,9,13,56,55,+1,45
2020,10,SC Freiburg,34,12,9,13,52,52,0,45
2020,11,TSG Hoffenheim,34,11,10,13,52,54,-2,43
2020,12,Mainz,34,10,9,15,39,56,-17,39
2020,13,FC Augsburg,34,10,6,18,36,54,-18,36
2020,14,Hertha Berlin,34,8,11,15,41,52,-11,35
2020,15,Arminia Bielefeld,34,9,8,17,26,52,-26,35
2020,16,FC Cologne,34,8,9,17,34,60,-26,33
2020,17,Werder Bremen,34,7,10,17,36,57,-21,31
2020,18,Schalke 04,34,3,7,24,25,86,-61,16
2021,1,Bayern Munich,34,24,5,5,97,37,+60,77
2021,2,Borussia Dortmund,34,22,3,9,85,52,+33,69
2021,3,Bayer Leverkusen,34,19,7,8,80,47,+33,64
2021,4,RB Leipzig,34,17,7,10,72,37,+35,58
2021,5,1. FC Union Berlin,34,16,9,9,50,44,+6,57
2021,6,SC Freiburg,34,15,10,9,58,46,+12,55
2021,7,FC Cologne,34,14,10,10,52,49,+3,52
2021,8,Mainz,34,13,7,14,50,45,+5,46
2021,9,TSG Hoffenheim,34,13,7,14,58,60,-2,46
2021,10,Borussia Monchengladbach,34,12,9,13,54,61,-7,45
2021,11,Eintracht Frankfurt,34,10,12,12,45,49,-4,42
2021,12,VfL Wolfsburg,34,12,6,16,43,54,-11,42
2021,13,VfL Bochum,34,12,6,16,38,52,-14,42
2021,14,FC Augsburg,34,10,8,16,39,56,-17,38
2021,15,VfB Stuttgart,34,7,12,15,41,59,-18,33
2021,16,Hertha Berlin,34,9,6,19,37,71,-34,33
2021,17,Arminia Bielefeld,34,5,13,16,27,53,-26,28
2021,18,SpVgg Greuther Furth,34,3,9,22,28,82,-54,18
2022,1,Bayern Munich,34,21,8,5,92,38,+54,71
2022,2,Borussia Dortmund,34,22,5,7,83,44,+39,71
2022,3,RB Leipzig,34,20,6,8,64,41,+23,66
2022,4,1. FC Union Berlin,34,18,8,8,51,38,+13,62
2022,5,SC Freiburg,34,17,8,9,51,44,+7,59
2022,6,Bayer Leverkusen,34,14,8,12,57,49,+8,50
2022,7,Eintracht Frankfurt,34,13,11,10,58,52,+6,50
2022,8,VfL Wolfsburg,34,13,10,11,57,48,+9,49
2022,9,Mainz,34,12,10,12,54,55,-1,46
2022,10,Borussia Monchengladbach,34,11,10,13,52,55,-3,43
2022,11,FC Cologne,34,10,12,12,49,54,-5,42
2022,12,TSG Hoffenheim,34,10,6,18,48,57,-9,36
2022,13,Werder Bremen,34,10,6,18,51,64,-13,36
2022,14,VfL Bochum,34,10,5,19,40,72,-32,35
2022,15,FC Augsburg,34,9,7,18,42,63,-21,34
2022,16,VfB Stuttgart,34,7,12,15,45,57,-12,33
2022,17,Schalke 04,34,7,10,17,35,71,-36,31
2022,18,Hertha Berlin,34,7,8,19,42,69,-27,29
2023,1,Bayer Leverkusen,34,28,6,0,89,24,+65,90
2023,2,VfB Stuttgart,34,23,4,7,78,39,+39,73
2023,3,Bayern Munich,34,23,3,8,94,45,+49,72
2023,4,RB Leipzig,34,19,8,7,77,39,+38,65
2023,5,Borussia Dortmund,34,18,9,7,68,43,+25,63
2023,6,Eintracht Frankfurt,34,11,14,9,51,50,+1,47
2023,7,TSG Hoffenheim,34,13,7,14,66,66,0,46
2023,8,1. FC Heidenheim 1846,34,10,12,12,50,55,-5,42
2023,9,Werder Bremen,34,11,9,14,48,54,-6,42
2023,10,SC Freiburg,34,11,9,14,45,58,-13,42
2023,11,FC Augsburg,34,10,9,15,50,60,-10,39
2023,12,VfL Wolfsburg,34,10,7,17,41,56,-15,37
2023,13,Mainz,34,7,14,13,39,51,-12,35
2023,14,Borussia Monchengladbach,34,7,13,14,56,67,-11,34
2023,15,1. FC Union Berlin,34,9,6,19,33,58,-25,33
2023,16,VfL Bochum,34,7,12,15,42,74,-32,33
2023,17,FC Cologne,34,5,12,17,28,60,-32,27
2023,18,SV Darmstadt 98,34,3,8,23,30,86,-56,17
2024,1,Bayern Munich,19,15,3,1,58,16,+42,48
2024,2,Bayer Leverkusen,19,12,6,1,46,26,+20,42
2024,3,Eintracht Frankfurt,19,11,4,4,44,26,+18,37
2024,4,VfB Stuttgart,19,9,5,5,36,28,+8,32
2024,5,RB Leipzig,19,9,5,5,34,29,+5,32
2024,6,Mainz,19,9,4,6,33,23,+10,31
2024,7,VfL Wolfsburg,19,8,4,7,42,34,+8,28
2024,8,Borussia Monchengladbach,19,8,3,8,30,29,+1,27
2024,9,Werder Bremen,19,7,6,6,33,36,-3,27
2024,10,SC Freiburg,19,8,3,8,26,36,-10,27
2024,11,Borussia Dortmund,19,7,5,7,34,33,+1,26
2024,12,FC Augsburg,19,7,4,8,23,34,-11,25
2024,13,St. Pauli,19,6,2,11,17,21,-4,20
2024,14,1. FC Union Berlin,19,5,5,9,16,27,-11,20
2024,15,TSG Hoffenheim,19,4,6,9,25,37,-12,18
2024,16,1. FC Heidenheim 1846,19,4,2,13,24,40,-16,14
2024,17,Holstein Kiel,19,3,3,13,28,48,-20,12
2024,18,VfL Bochum,19,2,4,13,17,43,-26,10
