Season,Rank,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
2020,1,Internazionale,38,28,7,3,89,35,+54,91
2020,2,AC Milan,38,24,7,7,74,41,+33,79
2020,3,Atalanta,38,23,9,6,90,47,+43,78
2020,4,Juventus,38,23,9,6,77,38,+39,78
2020,5,Napoli,38,24,5,9,86,41,+45,77
2020,6,Lazio,38,21,5,12,61,55,+6,68
2020,7,AS Roma,38,18,8,12,68,58,+10,62
2020,8,Sassuolo,38,17,11,10,64,56,+8,62
2020,9,Sampdoria,38,15,7,16,52,54,-2,52
2020,10,Hellas Verona,38,11,12,15,46,48,-2,45
2020,11,Genoa,38,10,12,16,47,58,-11,42
2020,12,Bologna,38,10,11,17,51,65,-14,41
2020,13,Fiorentina,38,9,13,16,47,59,-12,40
2020,14,Udinese,38,10,10,18,42,58,-16,40
2020,15,Spezia,38,9,12,17,52,72,-20,39
2020,16,Cagliari,38,9,10,19,43,59,-16,37
2020,17,Torino,38,7,16,15,50,69,-19,37
2020,18,Benevento,38,7,12,19,40,75,-35,33
2020,19,Crotone,38,6,5,27,45,92,-47,23
2020,20,Parma,38,3,11,24,39,83,-44,20
2021,1,AC Milan,38,26,8,4,69,31,+38,86
2021,2,Internazionale,38,25,9,4,84,32,+52,84
2021,3,Napoli,38,24,7,7,74,31,+43,79
2021,4,Juventus,38,20,10,8,57,37,+20,70
2021,5,Lazio,38,18,10,10,77,58,+19,64
2021,6,AS Roma,38,18,9,11,59,43,+16,63
2021,7,Fiorentina,38,19,5,14,59,51,+8,62
2021,8,Atalanta,38,16,11,11,65,48,+17,59
2021,9,Hellas Verona,38,14,11,13,65,59,+6,53
2021,10,Torino,38,13,11,14,46,41,+5,50
2021,11,Sassuolo,38,13,11,14,64,66,-2,50
2021,12,Udinese,38,11,14,13,61,58,+3,47
2021,13,Bologna,38,12,10,16,44,55,-11,46
2021,14,Empoli,38,10,11,17,50,70,-20,41
2021,15,Sampdoria,38,10,6,22,46,63,-17,36
2021,16,Spezia,38,10,6,22,41,71,-30,36
2021,17,Salernitana,38,7,10,21,33,78,-45,31
2021,18,Cagliari,38,6,12,20,34,68,-34,30
2021,19,Genoa,38,4,16,18,27,60,-33,28
2021,20,Venezia,38,6,9,23,34,69,-35,27
2022,1,Napoli,38,28,6,4,77,28,+49,90
2022,2,Lazio,38,22,8,8,60,30,+30,74
2022,3,Internazionale,38,23,3,12,71,42,+29,72
2022,4,AC Milan,38,20,10,8,64,43,+21,70
2022,5,Atalanta,38,19,7,12,66,48,+18,64
2022,6,AS Roma,38,18,9,11,50,38,+12,63
2022,7,Juventus,38,22,6,10,56,33,+23,62
2022,8,Fiorentina,38,15,11,12,53,43,+10,56
2022,9,Bologna,38,14,12,12,53,49,+4,54
2022,10,Torino,38,14,11,13,42,41,+1,53
2022,11,Monza,38,14,10,14,48,52,-4,52
2022,12,Udinese,38,11,13,14,47,48,-1,46
2022,13,Sassuolo,38,12,9,17,47,61,-14,45
2022,14,Empoli,38,10,13,15,37,49,-12,43
2022,15,Salernitana,38,9,15,14,48,62,-14,42
2022,16,Lecce,38,8,12,18,33,46,-13,36
2022,17,Spezia,38,6,13,19,31,62,-31,31
2022,18,Hellas Verona,38,7,10,21,31,59,-28,31
2022,19,Cremonese,38,5,12,21,36,69,-33,27
2022,20,Sampdoria,38,3,10,25,24,71,-47,19
2023,1,Internazionale,38,29,7,2,89,22,+67,94
2023,2,AC Milan,38,22,9,7,76,49,+27,75
2023,3,Juventus,38,19,14,5,54,31,+23,71
2023,4,Atalanta,38,21,6,11,72,42,+30,69
2023,5,Bologna,38,18,14,6,54,32,+22,68
2023,6,AS Roma,38,18,9,11,65,46,+19,63
2023,7,Lazio,38,18,7,13,49,39,+10,61
2023,8,Fiorentina,38,17,9,12,61,46,+15,60
2023,9,Torino,38,13,14,11,36,36,0,53
2023,10,Napoli,38,13,14,11,55,48,+7,53
2023,11,Genoa,38,12,13,13,45,45,0,49
2023,12,Monza,38,11,12,15,39,51,-12,45
2023,13,Hellas Verona,38,9,11,18,38,51,-13,38
2023,14,Lecce,38,8,14,16,32,54,-22,38
2023,15,Udinese,38,6,19,13,37,53,-16,37
2023,16,Cagliari,38,8,12,18,42,68,-26,36
2023,17,Empoli,38,9,9,20,29,54,-25,36
2023,18,Frosinone,38,8,11,19,44,69,-25,35
2023,19,Sassuolo,38,7,9,22,43,75,-32,30
2023,20,Salernitana,38,2,11,25,32,81,-49,17
2024,1,Napoli,22,17,2,3,37,15,+22,53
2024,2,Internazionale,21,15,5,1,55,18,+37,50
2024,3,Atalanta,22,14,4,4,48,25,+23,46
2024,4,Lazio,22,12,3,7,38,30,+8,39
2024,5,Juventus,22,8,13,1,35,19,+16,37
2024,6,Fiorentina,21,10,6,5,35,22,+13,36
2024,7,AC Milan,21,9,7,5,32,23,+9,34
2024,8,Bologna,21,8,10,3,33,27,+6,34
2024,9,AS Roma,22,8,6,8,33,28,+5,30
2024,10,Torino,22,6,8,8,23,26,-3,26
2024,11,Udinese,22,7,5,10,25,34,-9,26
2024,12,Genoa,22,6,8,8,20,30,-10,26
2024,13,Como,22,5,7,10,27,36,-9,22
2024,14,Empoli,22,4,9,9,21,29,-8,21
2024,15,Cagliari,22,5,6,11,23,36,-13,21
2024,16,Parma,22,4,8,10,28,39,-11,20
2024,17,Hellas Verona,22,6,2,14,25,48,-23,20
2024,18,Lecce,22,5,5,12,15,40,-25,20
2024,19,Venezia,22,3,7,12,20,35,-15,16
2024,20,Monza,22,2,7,13,20,33,-13,13
